Hét,Dátum,Nap,Időpont,Platform,Poszt Típus,Téma,Kép/Video,Caption Főbb Pontok,Hashtags,Státusz,Megjegyzés
6,2025-02-14,Péntek,09:00,Instagram & Facebook,Single kép + Story,Boldog Valentin napot!,Párok + szív dekoráció,"Valentin-nap köszöntés, szerelem ünneplése, lánykérés még ma, utolsó helyek","#ValentineDay #HappyValentine #Love #Szerelem #Lánykérés",Tervezés,Valentin-nap reggel
7,2025-02-17,Hétfő,10:00,Instagram & Facebook,Video,Tavaszi esküvő package,Tavaszi virágok + terasz,"Tavaszi esküvői csomag, március-május, virágdekoráció, outdoor, early bird","#TavasziEsküvő #WeddingPackage #Esküvő2025 #SpringWedding #EsküvőiCsomag",Tervezés,Szezonális ajánlat
7,2025-02-19,Szerda,19:00,Instagram & Facebook,Carousel,Helyszín - tavaszi hangulat,Természet tavasszal,"Tavaszi természet, virágzás, zöld környezet, fresh air, outdoor terasz","#Spring #Tavasz #Nature #OutdoorVenue #NatureWedding #BudapestNature",Tervezés,Tavasz előtt
7,2025-02-21,Péntek,14:00,Instagram & Facebook,Single kép,Március ajánlat,CTA grafika + ajánlat,"Március időpontok, tavaszi rendezvények, céges team building, kedvezmény","#Március #MarchEvents #Rendezvény #TeamBuilding #SpringEvent",Tervezés,Hónap végi push
8,2025-02-24,Hétfő,11:00,Instagram & Facebook,Grafika,Esküvőszervezési tipp #2,Infografika,"Esküvői költségvetés tipp, min spórolj, min ne, prioritások","#EsküvőTipp #WeddingBudget #Esküvőszervezés #WeddingPlanning #BudgetTips",Tervezés,Oktatási sorozat folytatás
8,2025-02-26,Szerda,18:00,Instagram & Facebook,Video,Menü újdonság,Új tavaszi menü items,"Tavaszi menü, szezonális alapanyagok, friss, helyi termelők, séf ajánlata","#TavasziMenü #SpringMenu #SeasonalFood #Catering #GasztronómiaBudapest",Tervezés,Új menü bemutató
8,2025-02-28,Péntek,10:00,Instagram & Facebook,Carousel,Március foglalás reminder,Március naptár + CTA,"Március időpontok, húsvéti rendezvények, tavaszi esküvők, last call","#MárciusFoglalás #MarchBooking #SpringWedding #Húsvét #Rendezvény",Tervezés,Hónap zárás
9,2025-03-03,Hétfő,09:00,Instagram & Facebook,Carousel,Húsvéti családi rendezvény,Családi asztal + gyerekek,"Húsvéti családi ebéd, gyereksarok, húsvéti menü, családbarát, április időpontok","#Húsvét #FamiliEvent #CsaládiRendezvény #Easter #GyerekbaratHelyszín",Tervezés,Húsvét előtt 1 hónappal
9,2025-03-05,Szerda,19:00,Instagram & Facebook,Video,Real wedding story,Esküvő videó highlights,"Valódi esküvő a helyszínen, párok története, perfect day, testimonial video","#RealWedding #WeddingVideo #Esküvő #WeddingStory #EsküvőiPillanatok",Tervezés,User content felhasználás
9,2025-03-07,Péntek,12:00,Instagram & Facebook,Single kép,Tavaszi team building,Outdoor csapatépítés,"Team building outdoor programok, természetjárás, csapatépítő játékok, catering","#TeamBuilding #CsapatépítésTavasz #OutdoorTeamBuilding #CorporateEvent",Tervezés,Céges Q1-Q2 push
10,2025-03-10,Hétfő,11:00,Instagram & Facebook,Grafika,Outdoor esküvő előnyök,Infografika / Carousel,"Miért jó az outdoor esküvő, természet, fotók, friss levegő, backup terv","#OutdoorWedding #NatureWedding #EsküvőiTipp #WeddingAdvice #TavasziEsküvő",Tervezés,Oktatási tartalom
10,2025-03-12,Szerda,18:00,Instagram & Facebook,Carousel,Virágdekoráció ötletek,Virágos dekorációk,"Tavaszi virágok esküvőhöz, dekoráció ötletek, színpaletta, trendy flowers","#VirágDekoráció #WeddingFlowers #EsküvőiDekoráció #FloralDesign #WeddingDecor",Tervezés,Inspirációs tartalom
10,2025-03-14,Péntek,10:00,Instagram & Facebook,Single kép + CTA,Nyári esküvő last call,Nyári naptár + CTA,"Nyári időpontok utolsó helyei, június-július-augusztus, foglalj most, limited spots","#NyáriEsküvő #SummerWedding #LastCall #Foglalás #Esküvő2025",Tervezés,Sürgősségi CTA
11,2025-03-17,Hétfő,10:00,Instagram & Facebook,Video,Behind-the-scenes - Setup,Event setup timelapse,"Rendezvény felállítás behind-the-scenes, terítés, dekoráció, timelapse video","#BehindTheScenes #EventSetup #Rendezvényszervezés #EventPlanning #BTS",Tervezés,Timelapse video készítése
11,2025-03-19,Szerda,19:00,Instagram & Facebook,Carousel,Testimonial - Céges,Céges rendezvény fotók,"Gábor testimonial céges rendezvényről, profi szervezés, elégedett ügyfél","#CégesRendezvény #Testimonial #CorporateEvent #Review #ElégedettÜgyfél",Tervezés,B2B tartalom
11,2025-03-21,Péntek,17:00,Instagram & Facebook,Video,Tavaszi panoráma,Sunset tavasszal,"Tavaszi napnyugta, panoráma, természet ébredése, zöldülő táj, beautiful view","#TavasziKilátás #SpringView #Panoráma #BudapestView #ScenicView #Sunset",Tervezés,Tavasz első napja (márc 20)
12,2025-03-24,Hétfő,11:00,Instagram & Facebook,Grafika,Húsvéti menü ajánlat,Húsvéti ételek,"Húsvéti menü, sonka, tojásos ételek, tavaszi saláták, családi ebéd/vacsora","#HúsvétiMenü #EasterMenu #TavasziMenü #FamiliDinner #Húsvét2025",Tervezés,Húsvét előtt 2 héttel
12,2025-03-26,Szerda,18:00,Instagram & Facebook,Carousel,Esküvői koordinátor szolgáltatás,Koordinátor munkában,"Mit csinál az esküvői koordinátor, stresszmentes nap, részletes terv, execution","#EsküvőiKoordinátor #WeddingPlanner #Esküvőszervezés #StressFreeWedding",Tervezés,Szolgáltatás highlight
12,2025-03-28,Péntek,12:00,Instagram & Facebook,Single kép + CTA,Április időpontok,Április naptár,"Áprilisi időpontok, húsvét utáni rendezvények, tavaszi bulik, foglalj most","#Április #AprilEvents #Rendezvény #TavaszszRendezvény #Foglalás",Tervezés,Következő hónap push
